FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,nom_etablissement,adresse_etablissement,journee_ouverture,activite_categorie,geometry,agregation
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4477,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Didaure,Auto-école Nouvelle,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.1381004717211132 8.9831547852801),Agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4478,Centrale,Blitta,Blitta 1,Pagala-Gare,Pagala Gare,Auto-école la Prudence Pagala Gare,Nsp,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.9880383333333334 8.177550000000002),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4479,Centrale,Blitta,Blitta 1,Blitta,Blitta Dépôt,Auto-école la Nouvelle Blitta,BP 09 Blitta,"{mardi,mercredi,jeudi,vendredi,samedi,dimanche}",{Auto-école},POINT (0.9829727215157458 8.328168710609889),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_447a,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua (grand Marché),Auto-école Pugnus Dei Sotouboua,70158479/96857921,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.9849933333333334 8.557409999999999),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_447b,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua (kpétéyo),Auto-école le leader Sotouboua,90788065,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.9874599999999999 8.557846666666666),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_447c,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua (lawaye),Auto-école les Intègres,22466479/91169631,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.9788183333333333 8.564878333333333),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_447d,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua (zongo),Auto-école la Référence Sotouboua,90770970,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (0.9757658000000002 8.5606435),Antenne agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_447e,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,Adeta,Auto-école,Nsp,Nsp,{Auto-école},POINT (0.7296441082691845 7.1305693779212325),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_447f,Centrale,Tchamba,Tchamba 1,Tchamba,Wassouwa,Auto-école la Nouvelle Wassouwa,90981828/98393151,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.4229366666666672 9.026503333333334),Non agréée
_mview_entreprisesvariees_entreprises_variees.fid-10e319f4_19b9a9e9bdc_4480,Centrale,Tchamba,Tchamba 3,Kaboli,Djama,Auto-école la Nouvelle Djama,90981828/98393151,"{lundi,mardi,mercredi,jeudi,vendredi,samedi}",{Auto-école},POINT (1.586553333333333 8.751013333333331),Non agréée
